A Greener Future Data 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Date,Longitude,Latitude,Location,City,Province,Country,Photos,Sponsor,Event,Coordinator,Volunteers,Strange items,Cigarette Butts,Tobacco Packaging ,Lighters,Paraphernalia,Plastic Grocery Bags,Other Plastic Bags,Paper Bags,Reusable Bags,Food Wrappers,Plastic Beverage Bottles,Plastic Bottle Caps,Plastic Lids,Plastic Cups/Plates,Paper Cups/Plates,Metal Bottle Caps,Cans,Glass Bottles,Straws,Utensils,Personal Hygiene,Clothing,Construction,Fishing,Plastic Pieces,Paper,Glass,Foam,Other,Syringes,TOTAL
,"January 10, 2016",43.82692,-79.108339,Fairport Road,Pickering,Ontario,Canada,"011020161, 011020162, 011020163, 011020164, 011020165",Jonathan Paynter,,Rochelle Byrne,1,grade 1 math homework,21,15,1,0,1,5,0,0,43,36,8,12,3,18,0,16,0,7,0,0,0,0,0,15,21,0,2,1,0,225
,"January 17, 2016",43.82692,-79.108339,Fairport Road,Pickering,Ontario,Canada,011720161,Sharon Rattray,,Rochelle Byrne,1,,0,10,0,0,1,6,3,0,46,13,4,15,7,20,0,17,2,11,0,1,7,1,0,51,26,0,3,12,0,256
,"January 31, 2016",43.82692,-79.108339,Fairport Road,Pickering,Ontario,Canada,013120161,Sharon Rattray,,Rochelle Byrne,1,knife,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300
,"March 11, 2016",43.798636,-79.110922,Petticoat Creek Conservation Area,Pickering,Ontario,Canada,031120161,Robert Archibald,,Rochelle Byrne,2,"a brush, air freshener, frisbee and a tennis ball",250,3,1,0,5,12,0,0,25,13,0,3,2,6,0,6,1,4,0,5,1,2,0,12,26,0,6,5,0,388
,"April 22, 2016",43.812268,-79.078329,Beachfront Park,Pickering,Ontario,Canada,"032220161, 032220162, 032220163, 032220164",,Earth Day,Rochelle Byrne,2,,540,101,1,0,8,28,22,0,261,36,21,107,24,66,17,12,0,37,24,70,6,1,2,98,390,1,616,11,0,2500
,"April 30, 2016",43.82692,-79.108339,Fairport Road,Pickering,Ontario,Canada,"033020161, 033020162",Helen Turner,,Rochelle Byrne,1,a Brillo pad and a burrito,150,10,0,0,0,7,0,0,37,5,10,4,2,1,0,5,0,10,0,1,0,0,0,27,47,0,7,3,0,326
,"May 7, 2016",44.386449,-79.689241,Spirit Catcher,Barrie,Ontario,Canada,,,The Butt Blitz,Meaghan Paterson,,,7450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7450
,"May 7, 2016",44.153234,-77.388196,Zwick’s Trails,Belleville,Ontario,Canada,050720161,,The Butt Blitz,Gillian Holmes,2,,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730
,"May 7, 2016",,,The Environment Network,Collingwood,Ontario,Canada,,,The Butt Blitz,Narcis Bejtic,,,10961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10961
,"May 7, 2016",44.403257,-76.678945,Lion’s Hall,Harrowsmith,Ontario,Canada,,,The Butt Blitz,Sharon Rattray,1,,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
,"May 7, 2016",43.55024,-79.586979,Port Credit Light House,Mississauga,Ontario,Canada,,,The Butt Blitz,Melissa Coria,,,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
,"May 7, 2016",45.818466,-77.080789,Walmart Parking Lot,Pembroke,Ontario,Canada,,,The Butt Blitz,Nadine Briere,,,13246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13246
,"May 7, 2016",44.302657,-78.317232,Millennium Park,Peterborough,Ontario,Canada,,,The Butt Blitz,Emily Amon,,,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
,"May 7, 2016",43.83647,-79.087615,Pickering Town Centre,Pickering,Ontario,Canada,,,The Butt Blitz,Rochelle Byrne,2,,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
,"May 7, 2016",48.458982,-89.194652,Disc Golf Course,Thunder Bay,Ontario,Canada,,,The Butt Blitz,Shannon Costigan,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"May 7, 2016",,,,Steinbach,Manitoba,Canada,,,The Butt Blitz,Samantha Lajoie,,,5255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5255
,"May 7, 2016",,,,Calgary,Alberta,Canada,,,The Butt Blitz,Victoria Slominski,,,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
,"May 7, 2016",45.945159,-66.641597,Student Union Building,Fredericton,New Brunswick,Canada,,,The Butt Blitz,Patti Johnson,,,67058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67058
,"May 14, 2016",43.257821,-79.06883,Queen's Royal Park,Niagara-on-the-Lake,Ontario,Canada,"051420161, 051420163, 051420164, 051420165, 051420166, 051420167, 051420168, 051420169, 0514201610, 0514201611, 0514201612",GLGCF,Love Your Lake,Rochelle Byrne,4,"a bra underwire, silly string, lipstick, 4 golf balls, lip gloss, and candles",156,5,1,0,4,14,0,0,75,16,91,16,13,7,0,27,2,43,2,12,0,1,2,371,21,0,172,16,2,1069
,"May 14, 2016",43.260583,-79.094742,Ryerson Park,Niagara-on-the-Lake,Ontario,Canada,"051420162, ",GLGCF,Love Your Lake,Rochelle Byrne,4,,100,3,0,0,0,3,0,0,10,6,7,5,1,0,0,6,2,8,0,7,1,1,0,57,6,2,44,6,0,275
,"May 15, 2016",43.227081,-79.211878,Jones Beach,St. Catharines,Ontario,Canada,"051520161, 051520162, 051520163, 051520164, 051520165",GLGCF,Love Your Lake,Rochelle Byrne,3,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,10,0,10,0,600,0,0,0,30,0,850
,"May 15, 2016",43.224999,-79.221217,Sunset Beach,St. Catharines,Ontario,Canada,"051520166, 051520167, 051520168, 051520169, 0515201610, 0515201611, 0515201612, 0515201613, 0515201614, 0515201615, 0515201616",GLGCF,Love Your Lake,Rochelle Byrne,5,"basketball, fork, shingles, spray paint, a hammer, bubbles, a hockey stick, rake and a hair curler",170,6,1,0,7,19,1,0,111,18,1,9,7,6,3,17,9,3,1,4,1,21,1,107,44,8,44,20,0,639
,"May 15, 2016",43.205213,-79.261582,Westcliffe Park,St. Catharines,Ontario,Canada,0515201617,GLGCF,Love Your Lake,Rochelle Byrne,1,,0,0,0,0,5,6,0,0,15,2,0,1,1,1,0,3,2,0,0,2,0,0,0,20,13,0,0,7,0,78
,"May 15, 2016",43.204333,-79.266046,Lakeside Park,St. Catharines,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,2,,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,11,0,0,2,0,0,19
,"May 16, 2016",43.182314,-79.322042,Charles Daley Park,Lincoln,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,2,"plastic gun, perfume, full can of juice, Hawaiian lei, comb, heating packs for in your mitts.",47,4,6,0,0,2,0,0,48,13,91,1,2,3,9,10,7,54,7,22,1,1,2,387,6,24,78,27,0,852
,"May 16, 2016",43.184301,-79.370442,La Grande Hermine Shipwreck,Lincoln,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,2,,32,19,2,0,5,15,2,0,104,36,23,39,12,29,4,12,0,70,7,5,4,4,3,151,75,0,30,9,0,692
,"May 17, 2016",43.919779,-78.942223,Sinclair Secondary School,Whitby,Ontario,Canada,,,Student Council Alissa Sallans,Rochelle Byrne,,,4484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4484
,"May 17, 2016",43.195258,-79.525815,Grimsby Beach,Grimsby,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,53,6,3,0,12,28,0,0,165,16,117,13,8,8,20,24,5,73,0,22,3,41,1,351,9,15,95,15,0,1103
,"May 17, 2016",43.206966,-79.562711,Murray Street Park,Grimsby,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,50,4,0,0,5,18,12,0,64,11,20,13,5,7,2,6,2,11,0,3,0,2,2,74,27,11,26,8,0,383
,"May 19, 2016",43.224552,-79.618587,50 Point Conservation Area,Hamilton,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,136,0,0,0,0,2,0,0,198,0,545,0,0,0,0,0,0,682,40,40,0,20,0,987,10,0,130,0,0,2790
,"May 19, 2016",43.261953,-79.767797,Confederation Park,Hamilton,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,157,0,2,0,1,2,0,0,44,12,32,2,0,0,1,6,0,33,3,3,0,6,0,191,17,0,42,13,0,567
,"May 19, 2016",43.251192,-79.756242,Skyway Park,Hamilton,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"May 20, 2016",43.293815,-79.791564,Breezeway Trail,Hamilton,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,153,2,3,0,0,11,0,0,47,16,175,19,2,7,5,5,0,19,6,12,4,8,0,1221,4,0,52,135,0,1906
,"May 20, 2016",43.291734,-79.790874,Dieppe Veterans Memorial Park,Hamilton,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,50,0,1,0,0,0,1,0,5,0,4,0,0,0,1,0,1,2,0,2,0,0,0,13,12,0,1,1,0,94
,"May 21, 2016",43.309915,-79.799825,Beachway Park,Burlington,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,2,3,1,0,0,2,1,0,12,0,24,0,0,0,6,0,0,12,1,1,1,3,1,359,10,1,8,2,0,450
,"May 21, 2016",43.304763,-79.798084,Burlington Beach,Burlington,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,225,0,1,0,1,0,0,0,7,0,15,0,1,1,3,2,0,15,0,0,1,2,0,439,5,5,0,0,0,723
,"May 21, 2016",43.319825,-79.799784,Spencer Smith Park,Burlington,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,217,3,6,0,0,2,0,0,17,10,69,9,1,1,0,11,1,43,3,5,4,4,1,751,18,1,368,6,0,1551
,"May 22, 2016",43.332667,-79.777241,Port Nelson Park,Burlington,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,280,6,1,0,0,7,1,0,26,6,5,1,1,3,1,3,0,2,3,0,0,1,0,16,37,0,3,2,0,405
,"May 22, 2016",43.337914,-79.769652,Sioux Lookout Park,Burlington,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,380,3,1,0,2,1,1,0,17,0,0,1,0,0,0,0,0,0,0,5,1,0,0,32,37,6,8,7,0,502
,"May 22, 2016",43.352121,-79.752311,Paletta Mansion,Burlington,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,1,0,3,0,0,0,0,0,6,1,20,0,1,0,1,2,0,7,0,5,1,3,0,165,6,29,58,40,0,349
,2016,43.369486,-79.726218,Burloak Park,Burlington,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,350,6,0,0,26,10,0,0,77,0,3,4,0,3,0,0,0,3,1,2,1,0,0,29,196,0,2,38,0,751
,2016,43.371486,-79.724989,Samuel Curtis Parkette,Burlington,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,0,6,0,0,7,24,2,0,41,9,1,7,4,3,0,5,1,5,0,0,0,1,0,41,49,0,17,5,0,228
,"May 23, 2016",43.375813,-79.717806,South Shell Park,Oakville,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,45,3,1,0,5,6,5,0,83,37,95,16,12,3,0,25,1,58,5,8,8,11,5,332,78,12,113,57,0,1024
,2016,43.392014,-79.710072,Bronte Beach Park,Oakville,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,235,12,1,0,0,2,3,0,36,0,23,2,0,2,1,0,0,10,2,2,1,0,2,122,169,20,58,7,0,710
,2016,43.39791,-79.703133,Bronte Heritage Park,Oakville,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,47,1,1,0,6,7,0,0,76,3,0,7,2,2,0,2,0,2,2,4,1,5,0,91,38,4,51,3,0,355
,2016,43.39965,-79.700868,Water's Edge park,Oakville,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,74,2,0,0,0,2,0,0,13,2,3,2,1,0,1,1,0,2,0,0,4,0,0,11,14,1,2,5,0,140
,2016,43.40934,-79.691174,Coronation Park,Oakville,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,56,1,2,0,0,3,0,0,81,2,86,9,0,0,1,10,0,83,16,9,15,10,0,365,56,4,55,72,0,936
,2016,43.439618,-79.667032,Tannery Park,Oakville,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,615,3,0,0,0,6,6,0,30,6,13,9,2,3,1,1,0,6,1,1,1,1,1,28,40,2,5,6,0,787
,2016,43.441498,-79.665647,Lakeside Park,,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,73,0,1,0,3,3,1,0,22,10,4,11,2,4,1,3,0,10,3,1,2,0,0,48,41,2,6,9,0,260
,2016,43.44456,-79.664012,Dingle Park,Oakville,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,0,4,0,0,0,1,0,0,14,5,6,3,1,0,0,0,0,3,2,5,1,4,0,32,15,0,0,8,0,104
,2016,43.482169,-79.625048,Arkendo Park,Oakville,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,69,4,2,0,3,15,0,0,37,39,44,21,12,10,2,40,3,45,5,3,5,35,4,238,43,2,45,38,0,764
,2016,43.545963,-79.582567,J. C. Saddington Park,Mississauga,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,44,1,0,0,5,9,3,0,32,35,2,12,11,6,1,18,5,4,2,1,5,5,6,32,23,0,335,4,0,601
,2016,43.549647,-79.58228,JJ Plaus Park,Mississauga,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,795,0,0,0,2,6,0,0,18,7,10,4,0,1,0,3,2,7,3,2,1,0,1,172,67,0,95,2,0,1198
,2016,43.554923,-79.577245,Tall Oaks Park,Mississauga,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,323,11,2,0,0,2,0,0,37,1,15,2,3,1,16,2,0,2,2,2,0,3,1,30,23,10,308,5,0,801
,2016,43.557725,-79.571034,Hiawatha Park,Mississauga,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,11,6,1,0,5,12,0,0,34,21,3,7,4,2,3,16,3,3,4,1,6,0,0,23,13,0,74,9,0,261
,2016,43.561794,-79.567379,The Adamson Estate,Mississauga,Ontario,Canada,,GLGCF,Love Your Lake,Rochelle Byrne,,,0,1,1,0,2,5,0,0,60,6,25,32,2,0,0,12,0,12,2,2,2,14,2,211,3,2,138,26,0,560
